x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-1000.00000011,0.00000000
30.00000000,-0.00326516,-30000.00000331,-1000.00000011,0.07533903
60.00000000,-0.00652771,-60000.00000602,-1000.00000010,0.15067805
90.00000000,-0.00978503,-89999.99998426,-999.99999927,0.22601708
120.00000000,-0.01303452,-119999.99996322,-999.99999931,0.30135610
150.00000000,-0.01627355,-149999.99994218,-999.99999929,0.37669513
180.00000000,-0.01949953,-179999.99992123,-999.99999932,0.45203415
210.00000000,-0.02270983,-209999.99990112,-999.99999931,0.52737318
240.00000000,-0.02590184,-239999.99988145,-999.99999936,0.60271220
270.00000000,-0.02907295,-269999.99986261,-999.99999938,0.67805123
300.00000000,-0.03222055,-299999.99984312,-999.99999934,0.75339026
330.00000000,-0.03534202,-329999.99982330,-999.99999934,0.82872928
360.00000000,-0.03843476,-359999.99980360,-999.99999934,0.90406831
390.00000000,-0.04149615,-389999.99978533,-999.99999939,0.97940733
420.00000000,-0.04452357,-419999.99976957,-999.99999947,1.05474636
450.00000000,-0.04751442,-449999.99975324,-999.99999947,1.13008538
480.00000000,-0.05046609,-479999.99973497,-999.99999940,1.20542441
510.00000000,-0.05337595,-509999.99971664,-999.99999937,1.28076343
540.00000000,-0.05624140,-539999.99969909,-999.99999942,1.35610246
570.00000000,-0.05905983,-569999.99967936,-999.99999939,1.43144149
600.00000000,-0.06182862,-599999.99966142,-999.99999939,1.50678051
630.00000000,-0.06454516,-629999.99964166,-999.99999933,1.58211954
660.00000000,-0.06720684,-659999.99962774,-999.99999954,1.65745856
690.00000000,-0.06981104,-689999.99961227,-999.99999955,1.73279759
720.00000000,-0.07235516,-719999.99959719,-999.99999946,1.80813661
750.00000000,-0.07483658,-749999.99958342,-999.99999957,1.88347564
780.00000000,-0.07725268,-779999.99956673,-999.99999946,1.95881466
810.00000000,-0.07960086,-809999.99955210,-999.99999949,2.03415369
840.00000000,-0.08187851,-839999.99953696,-999.99999949,2.10949272
870.00000000,-0.08408300,-869999.99952754,-999.99999963,2.18483174
900.00000000,-0.08621173,-899999.99951363,-999.99999960,2.26017077
930.00000000,-0.08826209,-929999.99950218,-999.99999964,2.33550979
