x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-2000.00000022,0.00000000
30.00000000,-0.00653032,-60000.00000662,-2000.00000022,0.15067805
60.00000000,-0.01305542,-120000.00001204,-2000.00000019,0.30135610
90.00000000,-0.01957006,-179999.99996853,-1999.99999855,0.45203415
120.00000000,-0.02606904,-239999.99992645,-1999.99999862,0.60271220
150.00000000,-0.03254711,-299999.99988437,-1999.99999859,0.75339026
180.00000000,-0.03899905,-359999.99984246,-1999.99999864,0.90406831
210.00000000,-0.04541965,-419999.99980223,-1999.99999862,1.05474636
240.00000000,-0.05180367,-479999.99976289,-1999.99999872,1.20542441
270.00000000,-0.05814590,-539999.99972522,-1999.99999876,1.35610246
300.00000000,-0.06444109,-599999.99968624,-1999.99999869,1.50678051
330.00000000,-0.07068404,-659999.99964660,-1999.99999867,1.65745856
360.00000000,-0.07686952,-719999.99960721,-1999.99999869,1.80813661
390.00000000,-0.08299229,-779999.99957067,-1999.99999879,1.95881466
420.00000000,-0.08904714,-839999.99953914,-1999.99999893,2.10949272
450.00000000,-0.09502884,-899999.99950647,-1999.99999894,2.26017077
480.00000000,-0.10093217,-959999.99946994,-1999.99999881,2.41084882
510.00000000,-0.10675190,-1019999.99943328,-1999.99999875,2.56152687
540.00000000,-0.11248280,-1079999.99939817,-1999.99999884,2.71220492
570.00000000,-0.11811966,-1139999.99935871,-1999.99999877,2.86288297
600.00000000,-0.12365724,-1199999.99932283,-1999.99999877,3.01356102
630.00000000,-0.12909032,-1259999.99928331,-1999.99999866,3.16423907
660.00000000,-0.13441367,-1319999.99925548,-1999.99999908,3.31491713
690.00000000,-0.13962208,-1379999.99922454,-1999.99999909,3.46559518
720.00000000,-0.14471031,-1439999.99919438,-1999.99999893,3.61627323
750.00000000,-0.14967315,-1499999.99916685,-1999.99999914,3.76695128
780.00000000,-0.15450536,-1559999.99913347,-1999.99999892,3.91762933
810.00000000,-0.15920172,-1619999.99910420,-1999.99999899,4.06830738
840.00000000,-0.16375701,-1679999.99907392,-1999.99999898,4.21898543
870.00000000,-0.16816600,-1739999.99905509,-1999.99999927,4.36966348
900.00000000,-0.17242347,-1799999.99902725,-1999.99999920,4.52034153
930.00000000,-0.17652419,-1859999.99900436,-1999.99999928,4.67101959
960.00000000,-0.18046293,-1919999.99898738,-1999.99999943,4.82169764
990.00000000,-0.18423448,-1979999.99897248,-1999.99999942,4.97237569
1020.00000000,-0.18783360,-2039999.99895427,-1999.99999946,5.12305374
1050.00000000,-0.19125507,-2099999.99893850,-1999.99999957,5.27373179
1080.00000000,-0.19449367,-2159999.99893373,-1999.99999977,5.42440984
1110.00000000,-0.19754417,-2219999.99891764,-1999.99999939,5.57508789
1140.00000000,-0.20040135,-2279999.99891073,-1999.99999979,5.72576594
1170.00000000,-0.20305998,-2339999.99890208,-1999.99999982,5.87644400
1200.00000000,-0.20551484,-2399999.99889928,-1999.99999983,6.02712205
1230.00000000,-0.20776070,-2459999.99889117,-1999.99999981,6.17780010
1260.00000000,-0.20979234,-2519999.99889562,-2000.00000018,6.32847815
1290.00000000,-0.21160453,-2579999.99889535,-1999.99999994,6.47915620
1320.00000000,-0.21319204,-2639999.99890521,-2000.00000033,6.62983425
1350.00000000,-0.21454966,-2699999.99892069,-2000.00000051,6.78051230
1380.00000000,-0.21567215,-2759999.99893057,-2000.00000042,6.93119035
1410.00000000,-0.21655430,-2819999.99894144,-2000.00000048,7.08186841
1440.00000000,-0.21719087,-2879999.99895687,-2000.00000042,7.23254646
1470.00000000,-0.21757665,-2939999.99897007,-2000.00000052,7.38322451
1500.00000000,-0.21770640,-2999999.99897454,-2000.00000023,7.53390256
1530.00000000,-0.21757665,-2939999.99898389,1999.99999976,7.38322451
1560.00000000,-0.21719087,-2879999.99898925,1999.99999980,7.23254646
1590.00000000,-0.21655430,-2819999.99899395,1999.99999991,7.08186841
1620.00000000,-0.21567215,-2759999.99900383,1999.99999970,6.93119035
1650.00000000,-0.21454966,-2699999.99901322,1999.99999959,6.78051230
1680.00000000,-0.21319204,-2639999.99901988,1999.99999985,6.62983425
1710.00000000,-0.21160453,-2579999.99902996,1999.99999974,6.47915620
1740.00000000,-0.20979234,-2519999.99904865,1999.99999939,6.32847815
1770.00000000,-0.20776070,-2459999.99907124,1999.99999934,6.17780010
1800.00000000,-0.20551484,-2399999.99909493,1999.99999921,6.02712205
1830.00000000,-0.20305998,-2339999.99911392,1999.99999931,5.87644400
1860.00000000,-0.20040135,-2279999.99912897,1999.99999944,5.72576594
1890.00000000,-0.19754417,-2219999.99914795,1999.99999942,5.57508789
1920.00000000,-0.19449367,-2159999.99916261,1999.99999950,5.42440984
1950.00000000,-0.19125507,-2099999.99917236,1999.99999963,5.27373179
1980.00000000,-0.18783360,-2039999.99919188,1999.99999945,5.12305374
2010.00000000,-0.18423448,-1979999.99920762,1999.99999946,4.97237569
2040.00000000,-0.18046293,-1919999.99922124,1999.99999953,4.82169764
2070.00000000,-0.17652419,-1859999.99923056,1999.99999971,4.67101959
2100.00000000,-0.17242347,-1799999.99924308,1999.99999960,4.52034154
2130.00000000,-0.16816600,-1739999.99925572,1999.99999959,4.36966348
2160.00000000,-0.16375701,-1679999.99926758,1999.99999966,4.21898543
2190.00000000,-0.15920172,-1619999.99928510,1999.99999961,4.06830738
2220.00000000,-0.15450536,-1559999.99930233,1999.99999931,3.91762933
2250.00000000,-0.14967315,-1499999.99931735,1999.99999955,3.76695128
2280.00000000,-0.14471031,-1439999.99933696,1999.99999923,3.61627323
2310.00000000,-0.13962208,-1379999.99935287,1999.99999958,3.46559518
2340.00000000,-0.13441367,-1319999.99937272,1999.99999934,3.31491713
2370.00000000,-0.12909032,-1259999.99939954,1999.99999918,3.16423907
2400.00000000,-0.12365724,-1199999.99942446,1999.99999900,3.01356102
2430.00000000,-0.11811966,-1139999.99944931,1999.99999925,2.86288297
2460.00000000,-0.11248280,-1079999.99947661,1999.99999919,2.71220492
2490.00000000,-0.10675190,-1019999.99950498,1999.99999908,2.56152687
2520.00000000,-0.10093217,-959999.99953145,1999.99999906,2.41084882
2550.00000000,-0.09502884,-899999.99955714,1999.99999924,2.26017077
2580.00000000,-0.08904714,-839999.99958283,1999.99999911,2.10949272
2610.00000000,-0.08299229,-779999.99961287,1999.99999902,1.95881467
2640.00000000,-0.07686952,-719999.99964368,1999.99999896,1.80813661
2670.00000000,-0.07068404,-659999.99967211,1999.99999905,1.65745856
2700.00000000,-0.06444109,-599999.99970114,1999.99999899,1.50678051
2730.00000000,-0.05814590,-539999.99973333,1999.99999899,1.35610246
2760.00000000,-0.05180367,-479999.99976170,1999.99999905,1.20542441
2790.00000000,-0.04541965,-419999.99979168,1999.99999900,1.05474636
2820.00000000,-0.03899905,-359999.99982166,1999.99999901,0.90406831
2850.00000000,-0.03254711,-299999.99985254,1999.99999900,0.75339026
2880.00000000,-0.02606904,-239999.99988288,1999.99999899,0.60271220
2910.00000000,-0.01957006,-179999.99991286,1999.99999901,0.45203415
2940.00000000,-0.01305542,-119999.99994230,1999.99999902,0.30135610
2970.00000000,-0.00653032,-59999.99997121,1999.99999904,0.15067805
3000.00000000,0.00000000,-0.00000006,1999.99999905,0.00000000
