x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-1749.99999985,0.00000000
30.00000000,-0.00571403,-52499.99999529,-1749.99999985,0.13184329
60.00000000,-0.01142349,-104999.99998969,-1749.99999982,0.26368659
90.00000000,-0.01712381,-157499.99995351,-1749.99999879,0.39552988
120.00000000,-0.02281041,-209999.99991757,-1749.99999882,0.52737318
150.00000000,-0.02847872,-262499.99988329,-1749.99999886,0.65921647
180.00000000,-0.03412417,-314999.99984801,-1749.99999882,0.79105977
210.00000000,-0.03974219,-367499.99981409,-1749.99999886,0.92290306
240.00000000,-0.04532821,-419999.99978209,-1749.99999896,1.05474636
270.00000000,-0.05087766,-472499.99974740,-1749.99999885,1.18658965
300.00000000,-0.05638596,-524999.99971640,-1749.99999897,1.31843295
330.00000000,-0.06184854,-577499.99968237,-1749.99999888,1.45027624
360.00000000,-0.06726083,-629999.99965155,-1749.99999896,1.58211954
390.00000000,-0.07261826,-682499.99961972,-1749.99999897,1.71396283
420.00000000,-0.07791625,-734999.99959421,-1749.99999906,1.84580613
450.00000000,-0.08315024,-787499.99956572,-1749.99999917,1.97764942
480.00000000,-0.08831565,-839999.99953324,-1749.99999885,2.10949272
510.00000000,-0.09340791,-892499.99950409,-1749.99999901,2.24133601
540.00000000,-0.09842245,-944999.99946839,-1749.99999885,2.37317931
570.00000000,-0.10335470,-997499.99943841,-1749.99999898,2.50502260
600.00000000,-0.10820008,-1049999.99940366,-1749.99999883,2.63686590
630.00000000,-0.11295403,-1102499.99937224,-1749.99999898,2.76870919
660.00000000,-0.11761196,-1154999.99934840,-1749.99999917,2.90055248
690.00000000,-0.12216932,-1207499.99932432,-1749.99999923,3.03239578
720.00000000,-0.12662153,-1259999.99930096,-1749.99999917,3.16423907
750.00000000,-0.13096401,-1312499.99928057,-1749.99999935,3.29608237
780.00000000,-0.13519219,-1364999.99925166,-1749.99999905,3.42792566
810.00000000,-0.13930151,-1417499.99922681,-1749.99999918,3.55976896
840.00000000,-0.14328739,-1469999.99920070,-1749.99999917,3.69161225
870.00000000,-0.14714525,-1522499.99917990,-1749.99999921,3.82345555
900.00000000,-0.15087054,-1574999.99915576,-1749.99999925,3.95529884
930.00000000,-0.15445866,-1627499.99913654,-1749.99999931,4.08714214
960.00000000,-0.15790506,-1679999.99911928,-1749.99999941,4.21898543
990.00000000,-0.16120517,-1732499.99910757,-1749.99999951,4.35082873
1020.00000000,-0.16435440,-1784999.99909532,-1749.99999961,4.48267202
1050.00000000,-0.16734819,-1837499.99908531,-1749.99999974,4.61451532
1080.00000000,-0.17018196,-1889999.99907553,-1749.99999968,4.74635861
1110.00000000,-0.17285115,-1942499.99905965,-1749.99999953,4.87820191
1140.00000000,-0.17535118,-1994999.99905181,-1749.99999967,5.01004520
1170.00000000,-0.17767749,-2047499.99905199,-1750.00000004,5.14188850
1200.00000000,-0.17982549,-2099999.99904278,-1749.99999981,5.27373179
1230.00000000,-0.18179061,-2152499.99903390,-1749.99999959,5.40557509
1260.00000000,-0.18356829,-2204999.99904117,-1750.00000019,5.53741838
1290.00000000,-0.18515396,-2257499.99904305,-1750.00000007,5.66926168
1320.00000000,-0.18654304,-2309999.99904904,-1750.00000025,5.80110497
1350.00000000,-0.18773095,-2362499.99905634,-1750.00000024,5.93294826
1380.00000000,-0.18871313,-2414999.99907030,-1750.00000039,6.06479156
1410.00000000,-0.18948501,-2467499.99907823,-1750.00000030,6.19663485
1440.00000000,-0.19004201,-2519999.99909291,-1750.00000039,6.32847815
1470.00000000,-0.19037957,-2572499.99910056,-1750.00000028,6.46032144
1500.00000000,-0.19049310,-2624999.99910700,-1750.00000022,6.59216474
1530.00000000,-0.19037957,-2572499.99911134,1749.99999984,6.46032144
1560.00000000,-0.19004201,-2519999.99911500,1749.99999987,6.32847815
1590.00000000,-0.18948501,-2467499.99912260,1749.99999975,6.19663485
1620.00000000,-0.18871313,-2414999.99912946,1749.99999975,6.06479156
1650.00000000,-0.18773095,-2362499.99914032,1749.99999966,5.93294827
1680.00000000,-0.18654304,-2309999.99914326,1749.99999988,5.80110497
1710.00000000,-0.18515396,-2257499.99915640,1749.99999956,5.66926168
1740.00000000,-0.18356829,-2204999.99916929,1749.99999962,5.53741838
1770.00000000,-0.18179061,-2152499.99918969,1749.99999925,5.40557509
1800.00000000,-0.17982549,-2099999.99920914,1749.99999935,5.27373179
1830.00000000,-0.17767749,-2047499.99922127,1749.99999953,5.14188850
1860.00000000,-0.17535118,-1994999.99923325,1749.99999962,5.01004520
1890.00000000,-0.17285115,-1942499.99924928,1749.99999953,4.87820191
