x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-750.00000013,0.00000000
30.00000000,-0.00244887,-22500.00000393,-750.00000013,0.05650427
60.00000000,-0.00489578,-45000.00000733,-750.00000012,0.11300854
90.00000000,-0.00733877,-67499.99999163,-749.99999947,0.16951281
120.00000000,-0.00977589,-89999.99997550,-749.99999947,0.22601708
150.00000000,-0.01220517,-112499.99995947,-749.99999947,0.28252135
180.00000000,-0.01462465,-134999.99994364,-749.99999947,0.33902562
210.00000000,-0.01703237,-157499.99992833,-749.99999950,0.39552988
240.00000000,-0.01942638,-179999.99991301,-749.99999949,0.45203415
270.00000000,-0.02180471,-202499.99989840,-749.99999952,0.50853842
300.00000000,-0.02416541,-224999.99988335,-749.99999950,0.56504269
330.00000000,-0.02650652,-247499.99986884,-749.99999951,0.62154696
360.00000000,-0.02882607,-269999.99985489,-749.99999954,0.67805123
390.00000000,-0.03112211,-292499.99984095,-749.99999954,0.73455550
420.00000000,-0.03339268,-314999.99982905,-749.99999962,0.79105977
450.00000000,-0.03563582,-337499.99981612,-749.99999956,0.84756404
480.00000000,-0.03784956,-359999.99980241,-749.99999955,0.90406831
510.00000000,-0.04003196,-382499.99978897,-749.99999956,0.96057258
540.00000000,-0.04218105,-404999.99977377,-749.99999949,1.01707685
570.00000000,-0.04429487,-427499.99976113,-749.99999957,1.07358111
600.00000000,-0.04637146,-449999.99974632,-749.99999952,1.13008538
630.00000000,-0.04840887,-472499.99973249,-749.99999954,1.18658965
660.00000000,-0.05040513,-494999.99972045,-749.99999961,1.24309392
690.00000000,-0.05235828,-517499.99970797,-749.99999960,1.29959819
720.00000000,-0.05426637,-539999.99969795,-749.99999964,1.35610246
750.00000000,-0.05612743,-562499.99968706,-749.99999966,1.41260673
780.00000000,-0.05793951,-584999.99967687,-749.99999968,1.46911100
810.00000000,-0.05970065,-607499.99966717,-749.99999965,1.52561527
840.00000000,-0.06140888,-629999.99965616,-749.99999966,1.58211954
870.00000000,-0.06306225,-652499.99964499,-749.99999965,1.63862381
900.00000000,-0.06465880,-674999.99963489,-749.99999961,1.69512808
930.00000000,-0.06619657,-697499.99962638,-749.99999976,1.75163234
960.00000000,-0.06767360,-719999.99962129,-749.99999976,1.80813661
990.00000000,-0.06908793,-742499.99961510,-749.99999982,1.86464088
1020.00000000,-0.07043760,-764999.99960996,-749.99999986,1.92114515
1050.00000000,-0.07172065,-787499.99960640,-749.99999985,1.97764942
1080.00000000,-0.07293513,-809999.99960165,-749.99999988,2.03415369
1110.00000000,-0.07407907,-832499.99959585,-749.99999980,2.09065796
1140.00000000,-0.07515051,-854999.99959229,-749.99999988,2.14716223
1170.00000000,-0.07614749,-877499.99958998,-749.99999988,2.20366650
1200.00000000,-0.07706807,-899999.99958581,-749.99999992,2.26017077
1230.00000000,-0.07791026,-922499.99958657,-749.99999997,2.31667504
1260.00000000,-0.07867213,-944999.99958353,-749.99999995,2.37317931
1290.00000000,-0.07935170,-967499.99958579,-750.00000004,2.42968358
1320.00000000,-0.07994702,-989999.99959017,-750.00000011,2.48618784
1350.00000000,-0.08045612,-1012499.99959451,-750.00000014,2.54269211
1380.00000000,-0.08087706,-1034999.99959712,-750.00000011,2.59919638
1410.00000000,-0.08120786,-1057499.99960297,-750.00000022,2.65570065
1440.00000000,-0.08144658,-1079999.99960904,-750.00000017,2.71220492
1470.00000000,-0.08159124,-1102499.99961180,-750.00000011,2.76870919
1500.00000000,-0.08163990,-1124999.99961547,-750.00000007,2.82521346
1530.00000000,-0.08159124,-1102499.99961979,749.99999980,2.76870919
1560.00000000,-0.08144658,-1079999.99962250,749.99999987,2.71220492
1590.00000000,-0.08120786,-1057499.99962278,749.99999996,2.65570065
1620.00000000,-0.08087706,-1034999.99962785,749.99999992,2.59919638
1650.00000000,-0.08045612,-1012499.99963102,749.99999986,2.54269211
1680.00000000,-0.07994702,-989999.99963279,749.99999994,2.48618784
1710.00000000,-0.07935170,-967499.99963945,749.99999979,2.42968358
1740.00000000,-0.07867213,-944999.99964517,749.99999975,2.37317931
1770.00000000,-0.07791026,-922499.99965221,749.99999982,2.31667504
1800.00000000,-0.07706807,-899999.99965814,749.99999974,2.26017077
1830.00000000,-0.07614749,-877499.99966535,749.99999978,2.20366650
1860.00000000,-0.07515051,-854999.99967253,749.99999975,2.14716223
1890.00000000,-0.07407907,-832499.99967980,749.99999972,2.09065796
1920.00000000,-0.07293513,-809999.99968421,749.99999989,2.03415369
1950.00000000,-0.07172065,-787499.99968711,749.99999993,1.97764942
1980.00000000,-0.07043760,-764999.99969271,749.99999986,1.92114515
2010.00000000,-0.06908793,-742499.99970122,749.99999970,1.86464088
2040.00000000,-0.06767360,-719999.99970657,749.99999984,1.80813661
2070.00000000,-0.06619657,-697499.99971263,749.99999975,1.75163234
2100.00000000,-0.06465880,-674999.99971795,749.99999981,1.69512808
2130.00000000,-0.06306225,-652499.99972178,749.99999989,1.63862381
2160.00000000,-0.06140888,-629999.99972706,749.99999981,1.58211954
2190.00000000,-0.05970065,-607499.99973203,749.99999989,1.52561527
2220.00000000,-0.05793951,-584999.99973835,749.99999979,1.46911100
2250.00000000,-0.05612743,-562499.99974376,749.99999984,1.41260673
2280.00000000,-0.05426637,-539999.99975151,749.99999974,1.35610246
2310.00000000,-0.05235828,-517499.99975726,749.99999981,1.29959819
2340.00000000,-0.05040513,-494999.99976552,749.99999975,1.24309392
2370.00000000,-0.04840887,-472499.99977338,749.99999974,1.18658965
2400.00000000,-0.04637146,-449999.99978280,749.99999969,1.13008538
2430.00000000,-0.04429487,-427499.99979347,749.99999964,1.07358111
2460.00000000,-0.04218105,-404999.99980381,749.99999966,1.01707685
2490.00000000,-0.04003196,-382499.99981427,749.99999962,0.96057258
2520.00000000,-0.03784956,-359999.99982381,749.99999968,0.90406831
2550.00000000,-0.03563582,-337499.99983311,749.99999971,0.84756404
2580.00000000,-0.03339268,-314999.99984378,749.99999964,0.79105977
2610.00000000,-0.03112211,-292499.99985337,749.99999969,0.73455550
2640.00000000,-0.02882607,-269999.99986488,749.99999961,0.67805123
2670.00000000,-0.02650652,-247499.99987632,749.99999963,0.62154696
2700.00000000,-0.02416541,-224999.99988815,749.99999961,0.56504269
2730.00000000,-0.02180471,-202499.99989977,749.99999961,0.50853842
2760.00000000,-0.01942638,-179999.99991101,749.99999963,0.45203415
2790.00000000,-0.01703237,-157499.99992177,749.99999964,0.39552988
2820.00000000,-0.01462465,-134999.99993330,749.99999962,0.33902562
2850.00000000,-0.01220517,-112499.99994516,749.99999962,0.28252135
2880.00000000,-0.00977589,-89999.99995616,749.99999963,0.22601708
2910.00000000,-0.00733877,-67499.99996716,749.99999963,0.16951281
2940.00000000,-0.00489578,-44999.99997836,749.99999963,0.11300854
2970.00000000,-0.00244887,-22499.99998927,749.99999964,0.05650427
3000.00000000,0.00000000,-0.00000000,749.99999964,0.00000000
