x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-2249.99999989,0.00000000
30.00000000,-0.00734661,-67499.99999636,-2249.99999989,0.16951281
60.00000000,-0.01468734,-134999.99999279,-2249.99999988,0.33902562
90.00000000,-0.02201632,-202499.99994493,-2249.99999842,0.50853842
120.00000000,-0.02932766,-269999.99990016,-2249.99999852,0.67805123
150.00000000,-0.03661550,-337499.99985468,-2249.99999849,0.84756404
180.00000000,-0.04387394,-404999.99981052,-2249.99999855,1.01707685
210.00000000,-0.05109711,-472499.99976885,-2249.99999858,1.18658965
240.00000000,-0.05827913,-539999.99972641,-2249.99999861,1.35610246
270.00000000,-0.06541413,-607499.99968636,-2249.99999867,1.52561527
300.00000000,-0.07249623,-674999.99964607,-2249.99999866,1.69512808
330.00000000,-0.07951955,-742499.99960351,-2249.99999867,1.86464088
360.00000000,-0.08647821,-809999.99956226,-2249.99999862,2.03415369
390.00000000,-0.09336633,-877499.99952281,-2249.99999866,2.20366650
420.00000000,-0.10017804,-944999.99948841,-2249.99999885,2.37317931
450.00000000,-0.10690745,-1012499.99945134,-2249.99999875,2.54269211
480.00000000,-0.11354869,-1079999.99941146,-2249.99999871,2.71220492
510.00000000,-0.12009589,-1147499.99937272,-2249.99999867,2.88171773
540.00000000,-0.12654315,-1214999.99932647,-2249.99999859,3.05123054
570.00000000,-0.13288461,-1282499.99928486,-2249.99999856,3.22074334
600.00000000,-0.13911439,-1349999.99924135,-2249.99999844,3.39025615
630.00000000,-0.14522661,-1417499.99920142,-2249.99999867,3.55976896
660.00000000,-0.15121538,-1484999.99916768,-2249.99999879,3.72928177
690.00000000,-0.15707484,-1552499.99913037,-2249.99999882,3.89879457
720.00000000,-0.16279910,-1619999.99909902,-2249.99999893,4.06830738
750.00000000,-0.16838229,-1687499.99906778,-2249.99999898,4.23782019
780.00000000,-0.17381853,-1754999.99903703,-2249.99999887,4.40733300
810.00000000,-0.17910194,-1822499.99900734,-2249.99999914,4.57684580
840.00000000,-0.18422664,-1889999.99897623,-2249.99999898,4.74635861
870.00000000,-0.18918675,-1957499.99894631,-2249.99999904,4.91587142
900.00000000,-0.19397640,-2024999.99891782,-2249.99999908,5.08538423
930.00000000,-0.19858971,-2092499.99889064,-2249.99999920,5.25489703
960.00000000,-0.20302080,-2159999.99887216,-2249.99999934,5.42440984
990.00000000,-0.20726379,-2227499.99885446,-2249.99999932,5.59392265
1020.00000000,-0.21131280,-2294999.99883544,-2249.99999943,5.76343546
1050.00000000,-0.21516196,-2362499.99882209,-2249.99999950,5.93294826
1080.00000000,-0.21880538,-2429999.99880958,-2249.99999961,6.10246107
1110.00000000,-0.22223720,-2497499.99879605,-2249.99999957,6.27197388
1140.00000000,-0.22545152,-2564999.99878874,-2249.99999975,6.44148669
1170.00000000,-0.22844248,-2632499.99878168,-2249.99999969,6.61099949
1200.00000000,-0.23120420,-2699999.99877101,-2249.99999974,6.78051230
1230.00000000,-0.23373079,-2767499.99876192,-2249.99999963,6.95002511
1260.00000000,-0.23601638,-2834999.99876893,-2250.00000012,7.11953792
1290.00000000,-0.23805509,-2902499.99876621,-2250.00000018,7.28905073
1320.00000000,-0.23984105,-2969999.99877578,-2250.00000018,7.45856353
1350.00000000,-0.24136836,-3037499.99879290,-2250.00000058,7.62807634
1380.00000000,-0.24263117,-3104999.99879800,-2250.00000020,7.79758915
1410.00000000,-0.24362359,-3172499.99880976,-2250.00000035,7.96710196
1440.00000000,-0.24433973,-3239999.99883197,-2250.00000076,8.13661476
1470.00000000,-0.24477373,-3307499.99883725,-2250.00000033,8.30612757
1500.00000000,-0.24491970,-3374999.99884322,-2250.00000013,8.47564038
1530.00000000,-0.24477373,-3307499.99885320,2249.99999959,8.30612757
1560.00000000,-0.24433973,-3239999.99885886,2249.99999985,8.13661476
1590.00000000,-0.24362359,-3172499.99887001,2249.99999981,7.96710196
1620.00000000,-0.24263117,-3104999.99888282,2249.99999944,7.79758915
1650.00000000,-0.24136836,-3037499.99888934,2249.99999973,7.62807634
1680.00000000,-0.23984105,-2969999.99889646,2249.99999965,7.45856353
1710.00000000,-0.23805509,-2902499.99890926,2249.99999946,7.28905073
1740.00000000,-0.23601638,-2834999.99892715,2249.99999950,7.11953792
1770.00000000,-0.23373079,-2767499.99894714,2249.99999939,6.95002511
1800.00000000,-0.23120420,-2699999.99897483,2249.99999897,6.78051230
1830.00000000,-0.22844248,-2632499.99899441,2249.99999928,6.61099950
1860.00000000,-0.22545152,-2564999.99901879,2249.99999925,6.44148669
1890.00000000,-0.22223720,-2497499.99903634,2249.99999923,6.27197388
1920.00000000,-0.21880538,-2429999.99905142,2249.99999950,6.10246107
1950.00000000,-0.21516196,-2362499.99906436,2249.99999961,5.93294826
1980.00000000,-0.21131280,-2294999.99908522,2249.99999926,5.76343546
2010.00000000,-0.20726379,-2227499.99910283,2249.99999943,5.59392265
2040.00000000,-0.20302080,-2159999.99911284,2249.99999978,5.42440984
2070.00000000,-0.19858971,-2092499.99912417,2249.99999960,5.25489703
2100.00000000,-0.19397640,-2024999.99914259,2249.99999950,5.08538423
2130.00000000,-0.18918675,-1957499.99915767,2249.99999950,4.91587142
2160.00000000,-0.18422664,-1889999.99917668,2249.99999934,4.74635861
2190.00000000,-0.17910194,-1822499.99919331,2249.99999952,4.57684580
2220.00000000,-0.17381853,-1754999.99921179,2249.99999938,4.40733300
2250.00000000,-0.16838229,-1687499.99922913,2249.99999933,4.23782019
2280.00000000,-0.16279910,-1619999.99925017,2249.99999922,4.06830738
2310.00000000,-0.15707484,-1552499.99926966,2249.99999943,3.89879457
2340.00000000,-0.15121538,-1484999.99929327,2249.99999932,3.72928177
2370.00000000,-0.14522661,-1417499.99932152,2249.99999904,3.55976896
2400.00000000,-0.13911439,-1349999.99935377,2249.99999886,3.39025615
2430.00000000,-0.13288461,-1282499.99937904,2249.99999917,3.22074334
2460.00000000,-0.12654315,-1214999.99941236,2249.99999897,3.05123054
2490.00000000,-0.12009589,-1147499.99944258,2249.99999910,2.88171773
2520.00000000,-0.11354869,-1079999.99947286,2249.99999896,2.71220492
2550.00000000,-0.10690745,-1012499.99950051,2249.99999911,2.54269211
2580.00000000,-0.10017804,-944999.99952888,2249.99999906,2.37317931
2610.00000000,-0.09336633,-877499.99956012,2249.99999893,2.20366650
2640.00000000,-0.08647821,-809999.99959296,2249.99999896,2.03415369
2670.00000000,-0.07951955,-742499.99962837,2249.99999884,1.86464088
2700.00000000,-0.07249623,-674999.99966228,2249.99999886,1.69512808
2730.00000000,-0.06541413,-607499.99969721,2249.99999893,1.52561527
2760.00000000,-0.05827913,-539999.99973166,2249.99999883,1.35610246
2790.00000000,-0.05109711,-472499.99976611,2249.99999887,1.18658965
2820.00000000,-0.04387394,-404999.99980021,2249.99999885,1.01707685
2850.00000000,-0.03661550,-337499.99983436,2249.99999887,0.84756404
2880.00000000,-0.02932766,-269999.99986863,2249.99999888,0.67805123
2910.00000000,-0.02201632,-202499.99990189,2249.99999888,0.50853842
2940.00000000,-0.01468734,-134999.99993509,2249.99999891,0.33902562
2970.00000000,-0.00734661,-67499.99996763,2249.99999892,0.16951281
3000.00000000,0.00000000,0.00000006,2249.99999893,0.00000000
