x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-500.00000006,0.00000000
30.00000000,-0.00163258,-15000.00000165,-500.00000006,0.03766951
60.00000000,-0.00326385,-30000.00000301,-500.00000005,0.07533903
90.00000000,-0.00489252,-44999.99999213,-499.99999964,0.11300854
120.00000000,-0.00651726,-59999.99998161,-499.99999965,0.15067805
150.00000000,-0.00813678,-74999.99997109,-499.99999965,0.18834756
180.00000000,-0.00974976,-89999.99996062,-499.99999966,0.22601708
210.00000000,-0.01135491,-104999.99995056,-499.99999966,0.26368659
240.00000000,-0.01295092,-119999.99994072,-499.99999968,0.30135610
270.00000000,-0.01453647,-134999.99993131,-499.99999969,0.33902562
300.00000000,-0.01611027,-149999.99992156,-499.99999967,0.37669513
330.00000000,-0.01767101,-164999.99991165,-499.99999967,0.41436464
360.00000000,-0.01921738,-179999.99990180,-499.99999967,0.45203415
390.00000000,-0.02074807,-194999.99989267,-499.99999970,0.48970367
420.00000000,-0.02226179,-209999.99988478,-499.99999973,0.52737318
450.00000000,-0.02375721,-224999.99987662,-499.99999974,0.56504269
480.00000000,-0.02523304,-239999.99986748,-499.99999970,0.60271220
510.00000000,-0.02668797,-254999.99985832,-499.99999969,0.64038172
540.00000000,-0.02812070,-269999.99984954,-499.99999971,0.67805123
570.00000000,-0.02952991,-284999.99983968,-499.99999969,0.71572074
600.00000000,-0.03091431,-299999.99983071,-499.99999969,0.75339026
630.00000000,-0.03227258,-314999.99982083,-499.99999966,0.79105977
660.00000000,-0.03360342,-329999.99981387,-499.99999977,0.82872928
690.00000000,-0.03490552,-344999.99980614,-499.99999977,0.86639879
720.00000000,-0.03617758,-359999.99979860,-499.99999973,0.90406831
750.00000000,-0.03741829,-374999.99979171,-499.99999979,0.94173782
780.00000000,-0.03862634,-389999.99978337,-499.99999973,0.97940733
810.00000000,-0.03980043,-404999.99977605,-499.99999975,1.01707685
840.00000000,-0.04093925,-419999.99976848,-499.99999974,1.05474636
870.00000000,-0.04204150,-434999.99976377,-499.99999982,1.09241587
900.00000000,-0.04310587,-449999.99975681,-499.99999980,1.13008538
930.00000000,-0.04413105,-464999.99975109,-499.99999982,1.16775490
960.00000000,-0.04511573,-479999.99974684,-499.99999986,1.20542441
990.00000000,-0.04605862,-494999.99974312,-499.99999985,1.24309392
1020.00000000,-0.04695840,-509999.99973857,-499.99999986,1.28076343
1050.00000000,-0.04781377,-524999.99973463,-499.99999989,1.31843295
1080.00000000,-0.04862342,-539999.99973343,-499.99999994,1.35610246
1110.00000000,-0.04938604,-554999.99972941,-499.99999985,1.39377197
1140.00000000,-0.05010034,-569999.99972768,-499.99999995,1.43144149
1170.00000000,-0.05076500,-584999.99972552,-499.99999996,1.46911100
1200.00000000,-0.05137871,-599999.99972482,-499.99999996,1.50678051
1230.00000000,-0.05194018,-614999.99972279,-499.99999995,1.54445002
1260.00000000,-0.05244808,-629999.99972390,-500.00000005,1.58211954
1290.00000000,-0.05290113,-644999.99972384,-499.99999999,1.61978905
1320.00000000,-0.05329801,-659999.99972630,-500.00000008,1.65745856
1350.00000000,-0.05363741,-674999.99973017,-500.00000013,1.69512808
1380.00000000,-0.05391804,-689999.99973264,-500.00000011,1.73279759
1410.00000000,-0.05413857,-704999.99973536,-500.00000012,1.77046710
1440.00000000,-0.05429772,-719999.99973922,-500.00000010,1.80813661
1470.00000000,-0.05439416,-734999.99974252,-500.00000013,1.84580613
1500.00000000,-0.05442660,-749999.99974363,-500.00000006,1.88347564
1530.00000000,-0.05439416,-734999.99974597,499.99999994,1.84580613
1560.00000000,-0.05429772,-719999.99974731,499.99999995,1.80813661
1590.00000000,-0.05413857,-704999.99974849,499.99999998,1.77046710
1620.00000000,-0.05391804,-689999.99975096,499.99999992,1.73279759
1650.00000000,-0.05363741,-674999.99975330,499.99999990,1.69512808
1680.00000000,-0.05329801,-659999.99975497,499.99999996,1.65745856
1710.00000000,-0.05290113,-644999.99975749,499.99999994,1.61978905
1740.00000000,-0.05244808,-629999.99976216,499.99999985,1.58211954
1770.00000000,-0.05194018,-614999.99976781,499.99999983,1.54445002
1800.00000000,-0.05137871,-599999.99977373,499.99999980,1.50678051
1830.00000000,-0.05076500,-584999.99977848,499.99999983,1.46911100
1860.00000000,-0.05010034,-569999.99978224,499.99999986,1.43144149
1890.00000000,-0.04938604,-554999.99978699,499.99999985,1.39377197
1920.00000000,-0.04862342,-539999.99979065,499.99999987,1.35610246
1950.00000000,-0.04781377,-524999.99979309,499.99999991,1.31843295
1980.00000000,-0.04695840,-509999.99979797,499.99999986,1.28076343
2010.00000000,-0.04605862,-494999.99980190,499.99999986,1.24309392
2040.00000000,-0.04511573,-479999.99980531,499.99999988,1.20542441
2070.00000000,-0.04413105,-464999.99980764,499.99999993,1.16775490
2100.00000000,-0.04310587,-449999.99981077,499.99999990,1.13008538
2130.00000000,-0.04204150,-434999.99981393,499.99999990,1.09241587
2160.00000000,-0.04093925,-419999.99981689,499.99999991,1.05474636
2190.00000000,-0.03980043,-404999.99982128,499.99999990,1.01707685
2220.00000000,-0.03862634,-389999.99982558,499.99999983,0.97940733
2250.00000000,-0.03741829,-374999.99982934,499.99999989,0.94173782
2280.00000000,-0.03617758,-359999.99983424,499.99999981,0.90406831
2310.00000000,-0.03490552,-344999.99983822,499.99999990,0.86639879
2340.00000000,-0.03360342,-329999.99984318,499.99999984,0.82872928
2370.00000000,-0.03227258,-314999.99984989,499.99999980,0.79105977
2400.00000000,-0.03091431,-299999.99985611,499.99999975,0.75339026
2430.00000000,-0.02952991,-284999.99986233,499.99999981,0.71572074
2460.00000000,-0.02812070,-269999.99986915,499.99999980,0.67805123
2490.00000000,-0.02668797,-254999.99987625,499.99999977,0.64038172
2520.00000000,-0.02523304,-239999.99988286,499.99999977,0.60271220
2550.00000000,-0.02375721,-224999.99988928,499.99999981,0.56504269
2580.00000000,-0.02226179,-209999.99989571,499.99999978,0.52737318
2610.00000000,-0.02074807,-194999.99990322,499.99999976,0.48970367
2640.00000000,-0.01921738,-179999.99991092,499.99999974,0.45203415
2670.00000000,-0.01767101,-164999.99991803,499.99999976,0.41436464
2700.00000000,-0.01611027,-149999.99992529,499.99999975,0.37669513
2730.00000000,-0.01453647,-134999.99993333,499.99999975,0.33902562
2760.00000000,-0.01295092,-119999.99994043,499.99999976,0.30135610
2790.00000000,-0.01135491,-104999.99994792,499.99999975,0.26368659
2820.00000000,-0.00974976,-89999.99995542,499.99999975,0.22601708
2850.00000000,-0.00813678,-74999.99996313,499.99999975,0.18834756
2880.00000000,-0.00651726,-59999.99997072,499.99999975,0.15067805
2910.00000000,-0.00489252,-44999.99997821,499.99999975,0.11300854
2940.00000000,-0.00326385,-29999.99998558,499.99999975,0.07533903
2970.00000000,-0.00163258,-14999.99999280,499.99999976,0.03766951
3000.00000000,0.00000000,-0.00000001,499.99999976,0.00000000
