x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-1250.00000072,0.00000000
30.00000000,-0.00408145,-37500.00002128,-1250.00000072,0.09417378
60.00000000,-0.00815964,-75000.00004154,-1250.00000068,0.18834756
90.00000000,-0.01223129,-112500.00001448,-1249.99999910,0.28252135
120.00000000,-0.01629315,-149999.99998724,-1249.99999910,0.37669513
150.00000000,-0.02034194,-187499.99996018,-1249.99999910,0.47086891
180.00000000,-0.02437441,-224999.99993330,-1249.99999911,0.56504269
210.00000000,-0.02838728,-262499.99990720,-1249.99999912,0.65921647
240.00000000,-0.03237730,-299999.99988103,-1249.99999913,0.75339026
270.00000000,-0.03634119,-337499.99985695,-1249.99999920,0.84756404
300.00000000,-0.04027568,-374999.99983305,-1249.99999921,0.94173782
330.00000000,-0.04417753,-412499.99980772,-1249.99999918,1.03591160
360.00000000,-0.04804345,-449999.99978298,-1249.99999916,1.13008538
390.00000000,-0.05187018,-487499.99975920,-1249.99999923,1.22425917
420.00000000,-0.05565446,-524999.99973837,-1249.99999933,1.31843295
450.00000000,-0.05939303,-562499.99971652,-1249.99999925,1.41260673
480.00000000,-0.06308261,-599999.99969238,-1249.99999922,1.50678051
510.00000000,-0.06671994,-637499.99967143,-1249.99999926,1.60095429
540.00000000,-0.07030175,-674999.99964646,-1249.99999923,1.69512808
570.00000000,-0.07382478,-712499.99962124,-1249.99999914,1.78930186
600.00000000,-0.07728577,-749999.99959901,-1249.99999920,1.88347564
630.00000000,-0.08068145,-787499.99957800,-1249.99999937,1.97764942
660.00000000,-0.08400855,-824999.99955529,-1249.99999925,2.07182320
690.00000000,-0.08726380,-862499.99953759,-1249.99999938,2.16599699
720.00000000,-0.09044395,-899999.99951565,-1249.99999933,2.26017077
750.00000000,-0.09354572,-937499.99949759,-1249.99999940,2.35434455
780.00000000,-0.09656585,-974999.99947783,-1249.99999937,2.44851833
810.00000000,-0.09950108,-1012499.99945748,-1249.99999925,2.54269211
840.00000000,-0.10234813,-1049999.99944082,-1249.99999947,2.63686590
870.00000000,-0.10510375,-1087499.99942577,-1249.99999954,2.73103968
900.00000000,-0.10776467,-1124999.99940792,-1249.99999939,2.82521346
930.00000000,-0.11032762,-1162499.99939263,-1249.99999946,2.91938724
960.00000000,-0.11278933,-1199999.99938089,-1249.99999962,3.01356102
990.00000000,-0.11514655,-1237499.99937087,-1249.99999966,3.10773481
1020.00000000,-0.11739600,-1274999.99936068,-1249.99999968,3.20190859
1050.00000000,-0.11953442,-1312499.99935290,-1249.99999973,3.29608237
1080.00000000,-0.12155855,-1349999.99934471,-1249.99999971,3.39025615
1110.00000000,-0.12346511,-1387499.99933511,-1249.99999969,3.48442993
1140.00000000,-0.12525085,-1424999.99933109,-1249.99999988,3.57860372
1170.00000000,-0.12691249,-1462499.99932589,-1249.99999992,3.67277750
1200.00000000,-0.12844678,-1499999.99932411,-1249.99999994,3.76695128
1230.00000000,-0.12985044,-1537499.99931756,-1249.99999974,3.86112506
1260.00000000,-0.13112021,-1574999.99931854,-1249.99999997,3.95529884
1290.00000000,-0.13225283,-1612499.99932073,-1250.00000016,4.04947263
1320.00000000,-0.13324503,-1649999.99932508,-1250.00000019,4.14364641
1350.00000000,-0.13409354,-1687499.99932757,-1250.00000004,4.23782019
1380.00000000,-0.13479509,-1724999.99933813,-1250.00000030,4.33199397
1410.00000000,-0.13534644,-1762499.99934042,-1250.00000009,4.42616775
1440.00000000,-0.13574429,-1799999.99934568,-1250.00000011,4.52034154
1470.00000000,-0.13598540,-1837499.99934864,-1250.00000004,4.61451532
1500.00000000,-0.13606650,-1874999.99935410,-1250.00000015,4.70868910
1530.00000000,-0.13598540,-1837499.99936085,1249.99999973,4.61451532
1560.00000000,-0.13574429,-1799999.99935724,1250.00000005,4.52034154
1590.00000000,-0.13534644,-1762499.99936204,1249.99999994,4.42616775
1620.00000000,-0.13479509,-1724999.99936871,1249.99999988,4.33199397
1650.00000000,-0.13409354,-1687499.99937680,1249.99999974,4.23782019
1680.00000000,-0.13324503,-1649999.99937956,1249.99999996,4.14364641
1710.00000000,-0.13225283,-1612499.99938832,1249.99999965,4.04947263
1740.00000000,-0.13112021,-1574999.99939722,1249.99999964,3.95529884
1770.00000000,-0.12985044,-1537499.99941339,1249.99999946,3.86112506
1800.00000000,-0.12844678,-1499999.99942215,1249.99999964,3.76695128
1830.00000000,-0.12691249,-1462499.99943525,1249.99999965,3.67277750
1860.00000000,-0.12525085,-1424999.99944048,1249.99999974,3.57860372
1890.00000000,-0.12346511,-1387499.99945453,1249.99999969,3.48442993
1920.00000000,-0.12155855,-1349999.99946466,1249.99999960,3.39025615
1950.00000000,-0.11953442,-1312499.99947146,1249.99999974,3.29608237
1980.00000000,-0.11739600,-1274999.99948201,1249.99999970,3.20190859
2010.00000000,-0.11514655,-1237499.99949646,1249.99999947,3.10773481
2040.00000000,-0.11278933,-1199999.99950176,1249.99999981,3.01356102
2070.00000000,-0.11032762,-1162499.99950981,1249.99999979,2.91938724
2100.00000000,-0.10776467,-1124999.99952176,1249.99999963,2.82521346
2130.00000000,-0.10510375,-1087499.99952823,1249.99999973,2.73103968
2160.00000000,-0.10234813,-1049999.99953890,1249.99999966,2.63686590
2190.00000000,-0.09950108,-1012499.99955004,1249.99999958,2.54269211
2220.00000000,-0.09656585,-974999.99955738,1249.99999968,2.44851833
2250.00000000,-0.09354572,-937499.99956980,1249.99999963,2.35434455
2280.00000000,-0.09044395,-899999.99957961,1249.99999964,2.26017077
2310.00000000,-0.08726380,-862499.99959266,1249.99999959,2.16599699
2340.00000000,-0.08400855,-824999.99960518,1249.99999959,2.07182320
2370.00000000,-0.08068145,-787499.99962002,1249.99999950,1.97764942
2400.00000000,-0.07728577,-749999.99963495,1249.99999943,1.88347564
2430.00000000,-0.07382478,-712499.99965292,1249.99999942,1.78930186
2460.00000000,-0.07030175,-674999.99967000,1249.99999944,1.69512808
2490.00000000,-0.06671994,-637499.99968898,1249.99999936,1.60095429
2520.00000000,-0.06308261,-599999.99970502,1249.99999943,1.50678051
