x_mm,deflection_mm,moment_Nmm,shear_N,stress_MPa
0.00000000,0.00000000,0.00000000,-1500.00000027,0.00000000
30.00000000,-0.00489774,-45000.00000787,-1500.00000027,0.11300854
60.00000000,-0.00979156,-90000.00001466,-1500.00000024,0.22601708
90.00000000,-0.01467755,-134999.99998325,-1499.99999895,0.33902562
120.00000000,-0.01955178,-179999.99995100,-1499.99999894,0.45203415
150.00000000,-0.02441033,-224999.99991894,-1499.99999894,0.56504269
180.00000000,-0.02924929,-269999.99988729,-1499.99999893,0.67805123
210.00000000,-0.03406474,-314999.99985665,-1499.99999899,0.79105977
240.00000000,-0.03885275,-359999.99982601,-1499.99999897,0.90406831
270.00000000,-0.04360942,-404999.99979681,-1499.99999905,1.01707685
300.00000000,-0.04833082,-449999.99976671,-1499.99999900,1.13008538
330.00000000,-0.05301303,-494999.99973768,-1499.99999902,1.24309392
360.00000000,-0.05765214,-539999.99970978,-1499.99999908,1.35610246
390.00000000,-0.06224422,-584999.99968189,-1499.99999908,1.46911100
420.00000000,-0.06678536,-629999.99965811,-1499.99999923,1.58211954
450.00000000,-0.07127163,-674999.99963224,-1499.99999911,1.69512808
480.00000000,-0.07569913,-719999.99960482,-1499.99999910,1.80813661
510.00000000,-0.08006392,-764999.99957794,-1499.99999911,1.92114515
540.00000000,-0.08436210,-809999.99954754,-1499.99999899,2.03415369
570.00000000,-0.08858974,-854999.99952227,-1499.99999914,2.14716223
600.00000000,-0.09274293,-899999.99949265,-1499.99999904,2.26017077
630.00000000,-0.09681774,-944999.99946499,-1499.99999908,2.37317931
660.00000000,-0.10081025,-989999.99944091,-1499.99999921,2.48618784
690.00000000,-0.10471656,-1034999.99941593,-1499.99999920,2.59919638
720.00000000,-0.10853274,-1079999.99939591,-1499.99999928,2.71220492
750.00000000,-0.11225486,-1124999.99937412,-1499.99999931,2.82521346
780.00000000,-0.11587902,-1169999.99935374,-1499.99999937,2.93822200
810.00000000,-0.11940129,-1214999.99933434,-1499.99999930,3.05123054
840.00000000,-0.12281776,-1259999.99931231,-1499.99999932,3.16423907
870.00000000,-0.12612450,-1304999.99928999,-1499.99999930,3.27724761
900.00000000,-0.12931760,-1349999.99926978,-1499.99999921,3.39025615
930.00000000,-0.13239314,-1394999.99925277,-1499.99999953,3.50326469
960.00000000,-0.13534720,-1439999.99924257,-1499.99999951,3.61627323
